1,Bangued,1,bangued
2,Boliney,1,boliney
3,Bucay,1,bucay
4,Bucloc,1,bucloc
5,Daguioman,1,daguioman
6,Danglas,1,danglas
7,Dolores,1,dolores
8,La Paz,1,la-paz
9,Lacub,1,lacub
10,Lagangilang,1,lagangilang
11,Lagayan,1,lagayan
12,Langiden,1,langiden
13,Licuan-Baay,1,licuan-baay
14,Luba,1,luba
15,Malibcong,1,malibcong
16,Manabo,1,manabo
17,Peñarrubia,1,penablanca-3
18,Pidigan,1,pidigan
19,Pilar,1,pilar
20,Sallapadan,1,sallapadan
21,San Isidro,1,san-isidro
22,San Juan,1,san-juan
23,San Quintin,1,san-quintin
24,Tayum,1,tayum
25,Tineg,1,tineg
26,Tubo,1,tubo
27,Villaviciosa,1,villaviciosa
28,Butuan City,2,butuan-city
29,Buenavista,2,buenavista
30,Cabadbaran,2,cabadbaran
31,Carmen,2,carmen
32,Jabonga,2,jabonga
33,Kitcharao,2,kitcharao
34,Las Nieves,2,las-nieves
35,Magallanes,2,magallanes
36,Nasipit,2,nasipit
37,Remedios T. Romualdez,2,remedios-t-romualdez
38,Santiago,2,santiago
39,Tubay,2,tubay
40,Bayugan,3,bayugan
41,Bunawan,3,bunawan
42,Esperanza,3,esperanza
43,La Paz,3,la-paz-2
44,Loreto,3,loreto
45,Prosperidad,3,prosperidad
46,Rosario,3,rosario
47,San Francisco,3,san-francisco
48,San Luis,3,san-luis
49,Santa Josefa,3,santa-josefa
50,Sibagat,3,sibagat
51,Talacogon,3,talacogon
52,Trento,3,trento
53,Veruela,3,veruela
54,Altavas,4,altavas
55,Balete,4,balete
56,Banga,4,banga
57,Batan,4,batan
58,Buruanga,4,buruanga
59,Ibajay,4,ibajay
60,Kalibo,4,kalibo
61,Lezo,4,lezo
62,Libacao,4,libacao
63,Madalag,4,madalag
64,Makato,4,makato
65,Malay,4,malay
66,Malinao,4,malinao
67,Nabas,4,nabas
68,New Washington,4,new-washington
69,Numancia,4,numancia
70,Tangalan,4,tangalan
71,Legazpi City,5,legazpi-city
72,Ligao City,5,ligao-city
73,Tabaco City,5,tabaco-city
74,Bacacay,5,bacacay
75,Camalig,5,camalig
76,Daraga,5,daraga
77,Guinobatan,5,guinobatan
78,Jovellar,5,jovellar
79,Libon,5,libon
80,Malilipot,5,malilipot
81,Malinao,5,malinao-2
82,Manito,5,manito
83,Oas,5,oas
84,Pio Duran,5,pio-duran
85,Polangui,5,polangui
86,Rapu-Rapu,5,rapu-rapu
87,Santo Domingo,5,santo-domingo
88,Tiwi,5,tiwi
89,Anini-y,6,anini-y
90,Barbaza,6,barbaza
91,Belison,6,belison
92,Bugasong,6,bugasong
93,Caluya,6,caluya
94,Culasi,6,culasi
95,Hamtic,6,hamtic
96,Laua-an,6,laua-an
97,Libertad,6,libertad
98,Pandan,6,pandan
99,Patnongon,6,patnongon
100,San Jose,6,san-jose
101,San Remigio,6,san-remigio
102,Sebaste,6,sebaste
103,Sibalom,6,sibalom
104,Tibiao,6,tibiao
105,Tobias Fornier,6,tobias-fornier
106,Valderrama,6,valderrama
107,Calanasan,7,calanasan
108,Conner,7,conner
109,Flora,7,flora
110,Kabugao,7,kabugao
111,Luna,7,luna
112,Pudtol,7,pudtol
113,Santa Marcela,7,santa-marcela
114,Baler,8,baler
115,Casiguran,8,casiguran
116,Dilasag,8,dilasag
117,Dinalungan,8,dinalungan
118,Dingalan,8,dingalan
119,Dipaculao,8,dipaculao
120,Maria Aurora,8,maria-aurora
121,San Luis,8,san-luis-2
122,Isabela City,9,isabela-city
123,Akbar,9,akbar
